coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
101,Geisha,3 Monkeys,,,Peru,,,,,
102,,3 Monkeys,,,Peru,,,,,
103,Reserve Al Wudiyan,Al Mokha,,Al Mokha,Yemen,,Natural,,,
104,Whole Foods,Allegro,,,Blend - Light Latin American & Dark Pacific Rim,,,Light and Dark,,"Spicy, sweet, smoky"
105,Belen Gualcho,Alma Coffee,Various,Ocotepeque,Honduras,1700,Washed,Light,,"Malt Chocolate, Green Grape, Graham Cracker"
106,Gotiti,Anchorhead,Mormora Farm,"Guji, Oromia",Ethiopia,2000,,,Heirloom | Wolicho | Kurume,"Lychee, Jasmine Tea"
107,Kiangoi,Anchorhead,,Kirinyaga,Kenya,,Washed,,SL-28 Cultivar,"peach, raspberry, nutmeg, honeydew"
108,Leviathan,Anchorhead,,Aricha | Sul de Minas,Blend - Ethiopia | Brazil,1900,Natural,,,"Blackberry syrup, marshmallow, blueberry, Caramel"
109,Narwhal,Anchorhead,,Codech | Aceh,Blend - Guatemala | Sumatra,1600,Washed | Semi-Washed,,"Caturra | Bourbon, Catimor, Typica","Milk Chocolate, Cherry, Nougat"
110,Rwanda Dukunde Kawa,Anchorhead,Dukunde Kawa Cooperative,Musasa,Rwanda,1750,Washed,,Bourbon,"Fig, Brown Sugar, Nutmeg"
111,Ethiopia Uraga Guji,Anchorhead,Feku Jiberil,Guji Zone,Ethiopia,,Washed,,,"Tangerine, Chocolate Syrup"
112,Colombia La Pradera,Anodyne Coffee Roasters,Hacienda La Pradera,Santander,Colombia,1700,Washed,,Castillo | Caturra | Colombia,"Cherry, Dark Chocolate, Caramel"
113,Precursor,Armistice,,,Blend - Brazil | Honduras | Ethiopia,,,,,
114,Dominican Republic of Congo,Atlas Coffee Importers,,,Dominican Republic of Congo,,,,,
115,Ethiopa,Atlas Coffee Importers,Shara Washing Station,Gelana Abaya,Ethiopia,,Washed,,Typica,"Blackberry, pear, green tea, jasmine, plum"
116,Fazenda Cachoeira,Atlas Coffee Importers,,Fazenda Cachoeira,Brazil,,Natural,,,
117,Fazenda Samambaia,Atlas Coffee Importers,,Fazenda Samambaia,Brazil,,Natural,,,
118,Fazenda Samambaia,Atlas Coffee Importers,,Fazenda Samambaia,Brazil,,Pulp Natural,,,
119,Bali Kintamani,Atomic,,Kintamani Highlands,Bali,1300,Natural,Light,Bourbon | Typica,"Cantaloupe, Strawberry liquer, complex"
120,Decaf Brazil,Atomic,,Minas Gerais,Brazil,1000,Swiss Water,,Bourbon | Mondo | Novo Hybrid,"Caramel, Honey, Bittersweet Chocolate"
121,Burundi Mutambu,Backporch Coffee Roasters,,Mutambu,Burundi,6000,Washed,,Red Bourbon,"Black Tea, Starfruit, Hibiscus"
122,Chateau Belleville Blend,Belleville,,Ciudad Vieja | Neptaly Bautista | Natural Kochere ,Blend - 40% Guatemala | 30% Honduras | 30% Ethiopia,,"Natural, Washed",,"Bourbon, Pacas",Red wine and mature fruit
123,Ciudad Vieja,Belleville,,,Guatemala,,Washed,,Bourbon,"Roasted hazelnuts, cocoa, grapes, and spices"
